srun: job 26232 queued and waiting for resources
srun: job 26232 has been allocated resources
[check B=1 T=512 H=4 G=4 NG=8 lb=-5.0 p2=seq]
  out  hier vs flash_kda               max_abs=0.000e+00 mean_abs=0.000e+00 max_rel=0.000e+00 rel_rms=0.000e+00
  hT   hier vs flash_kda               max_abs=0.000e+00 mean_abs=0.000e+00 max_rel=0.000e+00 rel_rms=0.000e+00
  out  flash_kda vs fp64               max_abs=4.726e-04 mean_abs=1.352e-05 max_rel=2.493e+01 rel_rms=5.148e-03
  out  hier vs fp64                    max_abs=4.726e-04 mean_abs=1.352e-05 max_rel=2.493e+01 rel_rms=5.148e-03
  hT   flash_kda vs fp64               max_abs=4.204e-03 mean_abs=9.741e-05 max_rel=8.931e+00 rel_rms=4.105e-03
  hT   hier vs fp64                    max_abs=4.204e-03 mean_abs=9.741e-05 max_rel=8.931e+00 rel_rms=4.105e-03
[check B=1 T=512 H=4 G=4 NG=8 lb=-5.0 p2=tree]
  out  hier vs flash_kda               max_abs=0.000e+00 mean_abs=0.000e+00 max_rel=0.000e+00 rel_rms=0.000e+00
  hT   hier vs flash_kda               max_abs=0.000e+00 mean_abs=0.000e+00 max_rel=0.000e+00 rel_rms=0.000e+00
  out  flash_kda vs fp64               max_abs=4.726e-04 mean_abs=1.352e-05 max_rel=2.493e+01 rel_rms=5.148e-03
  out  hier vs fp64                    max_abs=4.726e-04 mean_abs=1.352e-05 max_rel=2.493e+01 rel_rms=5.148e-03
  hT   flash_kda vs fp64               max_abs=4.204e-03 mean_abs=9.741e-05 max_rel=8.931e+00 rel_rms=4.105e-03
  hT   hier vs fp64                    max_abs=4.204e-03 mean_abs=9.741e-05 max_rel=8.931e+00 rel_rms=4.105e-03
[check B=1 T=2048 H=4 G=8 NG=16 lb=-5.0 p2=seq]
  out  hier vs flash_kda               max_abs=0.000e+00 mean_abs=0.000e+00 max_rel=0.000e+00 rel_rms=0.000e+00
  hT   hier vs flash_kda               max_abs=0.000e+00 mean_abs=0.000e+00 max_rel=0.000e+00 rel_rms=0.000e+00
  out  flash_kda vs fp64               max_abs=4.726e-04 mean_abs=1.353e-05 max_rel=2.731e+01 rel_rms=5.220e-03
  out  hier vs fp64                    max_abs=4.726e-04 mean_abs=1.353e-05 max_rel=2.731e+01 rel_rms=5.220e-03
  hT   flash_kda vs fp64               max_abs=5.146e-03 mean_abs=1.537e-04 max_rel=2.535e+00 rel_rms=4.511e-03
  hT   hier vs fp64                    max_abs=5.146e-03 mean_abs=1.537e-04 max_rel=2.535e+00 rel_rms=4.511e-03
[check B=1 T=2048 H=4 G=8 NG=16 lb=-5.0 p2=tree]
  out  hier vs flash_kda               max_abs=0.000e+00 mean_abs=0.000e+00 max_rel=0.000e+00 rel_rms=0.000e+00
  hT   hier vs flash_kda               max_abs=0.000e+00 mean_abs=0.000e+00 max_rel=0.000e+00 rel_rms=0.000e+00
  out  flash_kda vs fp64               max_abs=4.726e-04 mean_abs=1.353e-05 max_rel=2.731e+01 rel_rms=5.220e-03
  out  hier vs fp64                    max_abs=4.726e-04 mean_abs=1.353e-05 max_rel=2.731e+01 rel_rms=5.220e-03
  hT   flash_kda vs fp64               max_abs=5.146e-03 mean_abs=1.537e-04 max_rel=2.535e+00 rel_rms=4.511e-03
  hT   hier vs fp64                    max_abs=5.146e-03 mean_abs=1.537e-04 max_rel=2.535e+00 rel_rms=4.511e-03
[check B=2 T=1000 H=3 G=8 NG=8 lb=-5.0 p2=seq]
