srun: job 26239 queued and waiting for resources
srun: job 26239 has been allocated resources
[check B=1 T=2048 H=4 G=8 NG=16 lb=-0.1 p2=seq32]
  out  hier vs flash_kda               max_abs=4.883e-04 mean_abs=6.048e-06 max_rel=1.221e+02 rel_rms=1.674e-03
  hT   hier vs flash_kda               max_abs=3.906e-03 mean_abs=1.522e-05 max_rel=4.755e+00 rel_rms=7.455e-04
  out  flash_kda vs fp64               max_abs=6.486e-04 mean_abs=5.566e-05 max_rel=9.109e+01 rel_rms=5.946e-03
  out  hier vs fp64                    max_abs=6.486e-04 mean_abs=5.568e-05 max_rel=8.354e+01 rel_rms=5.949e-03
  hT   flash_kda vs fp64               max_abs=6.604e-03 mean_abs=5.596e-04 max_rel=4.278e+02 rel_rms=4.935e-03
  hT   hier vs fp64                    max_abs=6.604e-03 mean_abs=5.595e-04 max_rel=4.278e+02 rel_rms=4.934e-03
[check B=1 T=2048 H=4 G=8 NG=16 lb=-0.1 p2=seqbf]
  out  hier vs flash_kda               max_abs=4.883e-04 mean_abs=6.047e-06 max_rel=1.221e+02 rel_rms=1.674e-03
  hT   hier vs flash_kda               max_abs=3.906e-03 mean_abs=1.522e-05 max_rel=4.755e+00 rel_rms=7.455e-04
  out  flash_kda vs fp64               max_abs=6.486e-04 mean_abs=5.566e-05 max_rel=9.109e+01 rel_rms=5.946e-03
  out  hier vs fp64                    max_abs=6.486e-04 mean_abs=5.568e-05 max_rel=8.354e+01 rel_rms=5.949e-03
  hT   flash_kda vs fp64               max_abs=6.604e-03 mean_abs=5.596e-04 max_rel=4.278e+02 rel_rms=4.935e-03
  hT   hier vs fp64                    max_abs=6.604e-03 mean_abs=5.595e-04 max_rel=4.278e+02 rel_rms=4.934e-03
[check B=1 T=2048 H=4 G=8 NG=16 lb=-0.1 p2=merged:seqbf]
  out  hier vs flash_kda               max_abs=4.883e-04 mean_abs=6.047e-06 max_rel=1.221e+02 rel_rms=1.674e-03
  hT   hier vs flash_kda               max_abs=3.906e-03 mean_abs=1.522e-05 max_rel=4.755e+00 rel_rms=7.455e-04
  out  flash_kda vs fp64               max_abs=6.486e-04 mean_abs=5.566e-05 max_rel=9.109e+01 rel_rms=5.946e-03
  out  hier vs fp64                    max_abs=6.486e-04 mean_abs=5.568e-05 max_rel=8.354e+01 rel_rms=5.949e-03
  hT   flash_kda vs fp64               max_abs=6.604e-03 mean_abs=5.596e-04 max_rel=4.278e+02 rel_rms=4.935e-03
  hT   hier vs fp64                    max_abs=6.604e-03 mean_abs=5.595e-04 max_rel=4.278e+02 rel_rms=4.934e-03
[check B=1 T=2048 H=4 G=8 NG=16 lb=-0.1 p2=merged:treebf]
  out  hier vs flash_kda               max_abs=4.883e-04 mean_abs=6.048e-06 max_rel=1.221e+02 rel_rms=1.674e-03
  hT   hier vs flash_kda               max_abs=3.906e-03 mean_abs=1.522e-05 max_rel=4.755e+00 rel_rms=7.455e-04
  out  flash_kda vs fp64               max_abs=6.486e-04 mean_abs=5.566e-05 max_rel=9.109e+01 rel_rms=5.946e-03
  out  hier vs fp64                    max_abs=6.486e-04 mean_abs=5.568e-05 max_rel=8.354e+01 rel_rms=5.949e-03
  hT   flash_kda vs fp64               max_abs=6.604e-03 mean_abs=5.596e-04 max_rel=4.278e+02 rel_rms=4.935e-03
  hT   hier vs fp64                    max_abs=6.604e-03 mean_abs=5.595e-04 max_rel=4.278e+02 rel_rms=4.934e-03
[check B=2 T=1000 H=3 G=8 NG=8 lb=-0.1 p2=seq32]
  out  hier vs flash_kda               max_abs=4.883e-04 mean_abs=5.628e-06 max_rel=6.104e+01 rel_rms=1.629e-03
  hT   hier vs flash_kda               max_abs=3.906e-03 mean_abs=1.953e-05 max_rel=5.323e+00 rel_rms=8.708e-04
  out  flash_kda vs fp64               max_abs=7.972e-04 mean_abs=5.527e-05 max_rel=6.154e+01 rel_rms=5.978e-03
  out  hier vs fp64                    max_abs=7.972e-04 mean_abs=5.527e-05 max_rel=7.778e+01 rel_rms=5.976e-03
  hT   flash_kda vs fp64               max_abs=6.978e-03 mean_abs=5.223e-04 max_rel=8.395e+02 rel_rms=5.127e-03
  hT   hier vs fp64                    max_abs=6.978e-03 mean_abs=5.222e-04 max_rel=8.341e+02 rel_rms=5.122e-03
[check B=2 T=1000 H=3 G=8 NG=8 lb=-0.1 p2=seqbf]
  out  hier vs flash_kda               max_abs=4.883e-04 mean_abs=5.625e-06 max_rel=6.104e+01 rel_rms=1.628e-03
  hT   hier vs flash_kda               max_abs=3.906e-03 mean_abs=1.950e-05 max_rel=5.323e+00 rel_rms=8.705e-04
  out  flash_kda vs fp64               max_abs=7.972e-04 mean_abs=5.527e-05 max_rel=6.154e+01 rel_rms=5.978e-03
  out  hier vs fp64                    max_abs=7.972e-04 mean_abs=5.527e-05 max_rel=7.778e+01 rel_rms=5.976e-03
  hT   flash_kda vs fp64               max_abs=6.978e-03 mean_abs=5.223e-04 max_rel=8.395e+02 rel_rms=5.127e-03
  hT   hier vs fp64                    max_abs=6.978e-03 mean_abs=5.223e-04 max_rel=8.341e+02 rel_rms=5.123e-03
[check B=2 T=1000 H=3 G=8 NG=8 lb=-0.1 p2=merged:seqbf]
  out  hier vs flash_kda               max_abs=4.883e-04 mean_abs=5.625e-06 max_rel=6.104e+01 rel_rms=1.628e-03
  hT   hier vs flash_kda               max_abs=3.906e-03 mean_abs=1.950e-05 max_rel=5.323e+00 rel_rms=8.705e-04
  out  flash_kda vs fp64               max_abs=7.972e-04 mean_abs=5.527e-05 max_rel=6.154e+01 rel_rms=5.978e-03
  out  hier vs fp64                    max_abs=7.972e-04 mean_abs=5.527e-05 max_rel=7.778e+01 rel_rms=5.976e-03
  hT   flash_kda vs fp64               max_abs=6.978e-03 mean_abs=5.223e-04 max_rel=8.395e+02 rel_rms=5.127e-03
  hT   hier vs fp64                    max_abs=6.978e-03 mean_abs=5.223e-04 max_rel=8.341e+02 rel_rms=5.123e-03
[check B=2 T=1000 H=3 G=8 NG=8 lb=-0.1 p2=merged:treebf]
  out  hier vs flash_kda               max_abs=4.883e-04 mean_abs=5.627e-06 max_rel=6.104e+01 rel_rms=1.629e-03
  hT   hier vs flash_kda               max_abs=3.906e-03 mean_abs=1.950e-05 max_rel=5.323e+00 rel_rms=8.705e-04
  out  flash_kda vs fp64               max_abs=7.972e-04 mean_abs=5.527e-05 max_rel=6.154e+01 rel_rms=5.978e-03
  out  hier vs fp64                    max_abs=7.972e-04 mean_abs=5.527e-05 max_rel=7.778e+01 rel_rms=5.976e-03
  hT   flash_kda vs fp64               max_abs=6.978e-03 mean_abs=5.223e-04 max_rel=8.395e+02 rel_rms=5.127e-03
  hT   hier vs fp64                    max_abs=6.978e-03 mean_abs=5.223e-04 max_rel=8.341e+02 rel_rms=5.123e-03
[check B=1 T=8192 H=12 G=32 NG=16 lb=-0.1 p2=seq32]
  out  hier vs flash_kda               max_abs=2.441e-04 mean_abs=8.807e-09 max_rel=3.052e+01 rel_rms=6.369e-05
  hT   hier vs flash_kda               max_abs=0.000e+00 mean_abs=0.000e+00 max_rel=0.000e+00 rel_rms=0.000e+00
[check B=1 T=8192 H=12 G=32 NG=16 lb=-0.1 p2=seqbf]
  out  hier vs flash_kda               max_abs=2.441e-04 mean_abs=8.807e-09 max_rel=3.052e+01 rel_rms=6.369e-05
  hT   hier vs flash_kda               max_abs=0.000e+00 mean_abs=0.000e+00 max_rel=0.000e+00 rel_rms=0.000e+00
[check B=1 T=8192 H=12 G=32 NG=16 lb=-0.1 p2=merged:seqbf]
  out  hier vs flash_kda               max_abs=2.441e-04 mean_abs=8.807e-09 max_rel=3.052e+01 rel_rms=6.369e-05
  hT   hier vs flash_kda               max_abs=0.000e+00 mean_abs=0.000e+00 max_rel=0.000e+00 rel_rms=0.000e+00
[check B=1 T=8192 H=12 G=32 NG=16 lb=-0.1 p2=merged:treebf]
  out  hier vs flash_kda               max_abs=2.441e-04 mean_abs=8.807e-09 max_rel=3.052e+01 rel_rms=6.369e-05
  hT   hier vs flash_kda               max_abs=0.000e+00 mean_abs=0.000e+00 max_rel=0.000e+00 rel_rms=0.000e+00
[check B=1 T=2048 H=4 G=8 NG=16 lb=-0.01 p2=seq32]
  out  hier vs flash_kda               max_abs=1.465e-03 mean_abs=1.316e-04 max_rel=6.714e+02 rel_rms=6.093e-03
  hT   hier vs flash_kda               max_abs=7.812e-03 mean_abs=1.236e-03 max_rel=3.727e+02 rel_rms=5.033e-03
  out  flash_kda vs fp64               max_abs=1.294e-03 mean_abs=1.707e-04 max_rel=3.391e+02 rel_rms=6.909e-03
  out  hier vs fp64                    max_abs=1.177e-03 mean_abs=1.723e-04 max_rel=4.521e+02 rel_rms=6.978e-03
  hT   flash_kda vs fp64               max_abs=1.156e-02 mean_abs=1.725e-03 max_rel=4.572e+02 rel_rms=6.029e-03
  hT   hier vs fp64                    max_abs=1.144e-02 mean_abs=1.725e-03 max_rel=9.307e+01 rel_rms=6.037e-03
[check B=1 T=2048 H=4 G=8 NG=16 lb=-0.01 p2=seqbf]
  out  hier vs flash_kda               max_abs=1.465e-03 mean_abs=1.321e-04 max_rel=7.324e+02 rel_rms=6.111e-03
  hT   hier vs flash_kda               max_abs=1.172e-02 mean_abs=1.234e-03 max_rel=2.448e+02 rel_rms=5.041e-03
  out  flash_kda vs fp64               max_abs=1.294e-03 mean_abs=1.707e-04 max_rel=3.391e+02 rel_rms=6.909e-03
  out  hier vs fp64                    max_abs=1.177e-03 mean_abs=1.728e-04 max_rel=3.391e+02 rel_rms=7.002e-03
