Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
28093854,11840,13,64,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
28132798,3648,19,8,64,1,128,1,1,32,0.000,0.001,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_merge_topk_attn_out_kernel
28162782,11712,31,64,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
28179678,3713,37,8,64,1,128,1,1,32,0.000,0.001,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_merge_topk_attn_out_kernel
28203039,11648,49,64,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
28216415,3808,55,8,64,1,128,1,1,32,0.000,0.001,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_merge_topk_attn_out_kernel
28236415,11680,67,64,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
28258623,3840,73,8,64,1,128,1,1,32,0.000,0.001,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_merge_topk_attn_out_kernel
28278016,11840,85,64,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
28292768,3680,91,8,64,1,128,1,1,32,0.000,0.001,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_merge_topk_attn_out_kernel
28307808,11744,103,64,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
28321440,3712,109,8,64,1,128,1,1,32,0.000,0.001,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_merge_topk_attn_out_kernel
28345408,11713,121,64,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
