Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
27895677,26688,262,4,1,1,128,1,1,166,0.000,0.201,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_plain<(int)3>(CUtensorMap_st, msa::Params)"
27924573,27009,268,4,1,1,128,1,1,166,0.000,0.201,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_plain<(int)3>(CUtensorMap_st, msa::Params)"
27953246,26976,274,4,1,1,128,1,1,166,0.000,0.201,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_plain<(int)3>(CUtensorMap_st, msa::Params)"
27981918,27009,280,4,1,1,128,1,1,166,0.000,0.201,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_plain<(int)3>(CUtensorMap_st, msa::Params)"
28010591,27041,286,4,1,1,128,1,1,166,0.000,0.201,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_plain<(int)3>(CUtensorMap_st, msa::Params)"
28039424,26688,292,4,1,1,128,1,1,166,0.000,0.201,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_plain<(int)3>(CUtensorMap_st, msa::Params)"
28068096,26657,298,4,1,1,128,1,1,166,0.000,0.201,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_plain<(int)3>(CUtensorMap_st, msa::Params)"
28096769,26624,304,4,1,1,128,1,1,166,0.000,0.201,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_plain<(int)3>(CUtensorMap_st, msa::Params)"
28125441,26657,310,4,1,1,128,1,1,166,0.000,0.201,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_plain<(int)3>(CUtensorMap_st, msa::Params)"
28153954,27008,316,4,1,1,128,1,1,166,0.000,0.201,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_plain<(int)3>(CUtensorMap_st, msa::Params)"
28182626,27009,322,4,1,1,128,1,1,166,0.000,0.201,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_plain<(int)3>(CUtensorMap_st, msa::Params)"
28211299,26976,328,4,1,1,128,1,1,166,0.000,0.201,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_plain<(int)3>(CUtensorMap_st, msa::Params)"
28239971,27041,334,4,1,1,128,1,1,166,0.000,0.201,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_plain<(int)3>(CUtensorMap_st, msa::Params)"
28268804,26688,340,4,1,1,128,1,1,166,0.000,0.201,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_plain<(int)3>(CUtensorMap_st, msa::Params)"
28297476,26689,346,4,1,1,128,1,1,166,0.000,0.201,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_plain<(int)3>(CUtensorMap_st, msa::Params)"
28326149,26656,352,4,1,1,128,1,1,166,0.000,0.201,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_plain<(int)3>(CUtensorMap_st, msa::Params)"
28354854,26688,358,4,1,1,128,1,1,166,0.000,0.201,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_plain<(int)3>(CUtensorMap_st, msa::Params)"
28383334,27009,364,4,1,1,128,1,1,166,0.000,0.201,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_plain<(int)3>(CUtensorMap_st, msa::Params)"
28412007,26976,370,4,1,1,128,1,1,166,0.000,0.201,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_plain<(int)3>(CUtensorMap_st, msa::Params)"
28440679,26945,376,4,1,1,128,1,1,166,0.000,0.201,,,,,NVIDIA B300 SXM6 AC (0),1,,7,"void msa::decode_kernel_plain<(int)3>(CUtensorMap_st, msa::Params)"
